"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Belarus","BLR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8076.61539706314","7975.78209430144","7194.58015789496","6632.85904338145","5863.68671428536","5270.87109360297","5436.5881108443","6082.10032812912","6624.42627642622","6872.86437621973","7293.29407978573","7697.16307943566","8137.14130038666","8770.71285758614","9842.24636476149","10846.1289335011","12003.8159312999","13101.8489163942","14493.0709850245","14548.8383311335","15703.1116906557","16603.3895298874","16906.9218948805","17054.5583344608",
"Belize","BLZ","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5144.80609772893","5571.49900684408","6129.14027048355","6398.0863347626","6283.79486974186","6183.26773965111","6111.7591173304","6151.48381919608","6194.5116122803","6541.4565173712","7185.92611469718","7342.8534460366","7517.33845381058","8009.32265816605","8169.91274125757","8199.81377482225","8367.58920172632","8254.23924852459","8359.97746623237","8176.41877715655","8282.7477789156","8188.98547488525","8313.47936402335","8172.97488310635",
"Bermuda","BMU","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40553.2585214923","39322.1091825364","39584.3298590311","40557.2201557521","40518.4078179106","41999.2594636703","42816.9632444093","44514.1094159635","45911.686499741","47199.8414462502","51140.236844667","54245.1496398132","53096.9254922092","54549.8011627024","55452.6388804958","56017.19161965","58784.5932914465","60117.4599095649","60675.9820859495","57151.9191321066","56395.0078003539","54984.5103947777","52118.6402276982","",
"Bolivia","BOL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3739.99376221046","3844.89170995615","3816.81574603903","3887.29477802383","3975.49271434923","4067.95666030682","4152.0639400311","4264.05761467375","4384.16753089498","4311.78546584037","4329.97978884414","4314.62008593643","4334.71710655014","4366.60750929437","4464.2634895495","4578.37897290831","4715.98932135028","4850.18569491772","5065.86967840401","5152.46328819492","5278.88554611135","5461.75263193709","5650.43075021165","5934.38797771874",
"Brazil","BRA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9996.83674079405","9980.90957611373","9777.22963851779","10076.0730376965","10452.3474768073","10748.3081669716","10812.3201392046","11007.6188782166","10846.042814115","10713.5715875203","11014.8705471492","11004.3672654623","11143.8998210814","11125.3839791674","11616.8010417034","11846.2066822257","12184.3880729581","12800.3495692253","13337.8819479836","13175.5573607828","14043.3730871341","14300.7406589422","14323.1358759394","14555.0821953115",
"Barbados","BRB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13024.9528469634","12604.8801623555","11941.1424649796","12024.5666307257","12467.8872449467","12618.8634994181","12815.2824449822","13597.581115223","14116.0057733334","14435.7465101079","14714.1561358849","14279.8085253154","14310.3586812574","14521.5916847551","14656.0753454944","15165.9054457087","15952.3381740362","16139.4071251729","16115.6331189589","15372.5319480532","15335.0982212648","15374.2134863361","15298.7155167982","",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77076.3353111431","77274.5679168387","78688.4195388881","76750.0626414877","77038.0162026328","78405.743219494","78660.5527022674","75654.4191266147","73498.2107399188","74040.6386261692","74474.9739094605","74868.4729757327","76130.1938865937","76736.7192522661","75595.7647779585","74440.7285978171","76287.0553114609","75054.3129957519","72350.9582551207","69924.0278041154","70636.4704591218","71991.0849847106","71664.3739940364","69474.17897293",
"Bhutan","BTN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2343.95312923808","2338.0280226262","2476.15517619398","2570.3345976631","2736.98357918914","2944.89409783565","3087.62243650558","3200.15562596451","3309.45662826803","3476.86871308036","3614.15374110391","3799.31371655403","4083.40909862186","4268.50306623855","4395.33036462879","4588.77261225861","4791.4607743709","5535.61815254812","5692.37555335027","5964.62030203292","6549.08465429002","6987.59275515035","7188.29163414634","7425.04224310932",
"Botswana","BWA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8055.87911022907","8410.01201688025","8415.72392047935","8347.7483551725","8429.06700109274","8801.81128743264","9099.24037832505","9613.94731375234","9484.22120531981","10203.4483743381","10225.7414469375","10090.559351416","10551.3839522754","10897.1583231261","11058.4351198511","11432.4794970066","12211.3479098709","13138.2314465386","13519.9911510674","12345.0006280013","13285.9607836212","13984.1434950565","14454.2175765179","15176.1053629685",
"Sub-Saharan Africa (IFC classification)","CAA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
